"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.22021,68,2,-585.7,8.8663,-0.13504,-0.36692,0.074074,0.012408,-0.07031,-0.010323,0.014257
0.18391,76,2,-585.7,9.1545,0.020315,-0.87685,0.076424,0.015086,0.051957,0.061524,-0.015613
0.17861,84,2,-585.7,9.7142,0.08537,-1.0316,0.094717,0.020003,0.23163,0.19163,-0.017362
0.19221,92,2,-585.7,10.503,-0.089082,-0.68963,0.12408,0.026349,0.17132,0.10596,-0.084397
0.20104,100,2,-585.7,10.651,-0.25009,-0.27643,0.12578,0.025296,-0.28116,-0.22876,-0.013841
0.19064,108,2,-585.7,9.7246,-0.13419,-0.10961,0.0882,0.016179,-0.41927,-0.40935,-0.023226
0.20875,116,2,-585.7,8.5351,0.2016,-0.21502,0.061008,0.010182,-0.49785,-0.36985,0.044146
0.22492,124,2,-585.7,7.9659,0.38658,-0.54197,0.054207,0.0082899,0.19157,0.1058,0.11021
0.2046,132,2,-585.7,8.4125,0.14292,-0.57275,0.063299,0.0098776,0.36634,0.26062,-0.079529
0.27222,140,2,-585.7,10.202,-0.41325,-0.34152,0.14163,0.029353,-0.093205,0.067847,0.044387
0.23673,148,2,-585.7,12.385,-0.61088,-0.50545,0.22872,0.055559,0.41357,0.30095,0.10451
0.154,156,2,-585.7,12.615,-0.048981,-0.43421,0.17456,0.041868,0.24465,0.21503,-0.10759
0.21431,164,2,-585.7,10.745,0.43724,0.33083,0.12415,0.024387,-0.10197,-0.034221,0.017284
0.21241,172,2,-585.7,8.9991,0.37079,0.78764,0.073939,0.013334,-0.042112,-0.052493,0.013262
0.2189,180,2,-585.7,8.4021,0.18227,0.91076,0.060714,0.0091447,-0.044542,-0.064186,0.00047761
0.2666,188,2,-585.7,8.5441,0.081039,0.86375,0.071342,0.0094563,-0.16483,-0.091581,0.062901
0.20846,4,2,-575.86,11.449,-0.62167,-2.4244,0.17242,0.036901,-0.19713,-0.20798,-0.039439
0.227,12,2,-575.86,12.913,-0.83021,-1.5574,0.25604,0.062817,-0.1803,-0.14351,0.045791
0.21612,20,2,-575.86,13.84,-0.54027,-0.71902,0.28787,0.072567,0.057296,0.042744,0.065123
0.18431,28,2,-575.86,13.456,-0.119,-0.54357,0.23022,0.055782,0.20758,0.16815,-0.0035568
