"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.50217,68,2,-536.48,6.1087,-0.30437,-0.16734,0.035793,0.0031345,0.267,0.17831,-0.23125
0.89286,76,2,-536.48,5.4718,-0.048582,-0.51027,0.02259,0.0015821,-0.4789,-0.31728,-0.12278
1.0778,84,2,-536.48,5.4286,0.18375,-0.50656,0.029043,0.0020766,-0.25504,-0.24134,0.037108
0.76837,92,2,-536.48,5.7331,0.09226,-0.42968,0.036636,0.0029224,0.051028,-0.0045628,0.00053704
0.8099,100,2,-536.48,5.6846,-0.059037,-0.7174,0.035296,0.002675,0.023547,0.075917,0.0020109
1.4012,108,2,-536.48,5.1297,0.095647,-0.46649,0.024562,0.0014568,0.31029,0.21661,0.067077
0.76006,116,2,-536.48,4.5578,0.37731,0.34554,0.010007,0.00036562,0.034983,0.04586,-0.15346
0.76006,124,2,-536.48,4.3518,0.49782,0.79528,0.0090718,0.00028166,-0.17506,-0.13862,-0.092634
0.76006,132,2,-536.48,4.5507,0.39242,0.81043,0.014434,0.00058164,-0.16649,-0.094853,0.12029
0.76006,140,2,-536.48,4.8229,0.31965,0.52748,0.017318,0.00086518,0.27188,0.14726,-0.022285
0.76006,148,2,-536.48,4.7213,0.40526,-0.43586,0.013951,0.00058223,-0.03747,0.015611,-0.056514
0.76006,156,2,-536.48,4.3663,0.43143,-1.8604,0.0087933,0.00024709,-0.028332,-0.031844,0.029096
0.76006,164,2,-536.48,4.4822,0.3079,-2.8028,0.014796,0.00059754,-0.040266,-0.065584,-0.0027657
